iter	RMSE
0	17.92287699
1	17.60143903
2	17.2468226
3	16.92425597
4	16.63793112
5	16.32710776
6	16.05071443
7	15.77516885
8	15.54375933
9	15.2811458
10	15.02956388
11	14.77793886
12	14.54515124
13	14.29895755
14	14.07679274
15	13.82145968
16	13.59272302
17	13.37832678
18	13.18821704
19	12.96929751
20	12.80916445
21	12.61446733
22	12.45944622
23	12.30673823
24	12.10319805
25	11.91276465
26	11.72060304
27	11.55992306
28	11.36800224
29	11.25001371
30	11.0806374
31	10.92868621
32	10.7806827
33	10.60420496
34	10.42011341
35	10.26112417
36	10.12738006
37	9.995131431
38	9.868506123
39	9.719034035
40	9.580536452
41	9.451628849
42	9.322117695
43	9.198431696
44	9.082924437
45	8.967323883
46	8.842465043
47	8.717414886
48	8.60827357
49	8.487875851
50	8.378002435
51	8.262682421
52	8.164664184
53	8.066132588
54	7.964881726
55	7.848775266
56	7.739057162
57	7.63964135
58	7.530099685
59	7.446928183
60	7.36215357
61	7.270077364
62	7.196657146
63	7.125761178
64	7.043862959
65	6.952632219
66	6.867768006
67	6.793733694
68	6.71041614
69	6.636006007
70	6.548002405
71	6.470569273
72	6.396537972
73	6.323665509
74	6.245318654
75	6.175062663
76	6.104121149
77	6.037580688
78	5.962430847
79	5.904010027
80	5.839579107
81	5.765144028
82	5.701108114
83	5.645554895
84	5.583662415
85	5.527206711
86	5.465857172
87	5.415341124
88	5.35281402
89	5.287611087
90	5.235620174
91	5.179521328
92	5.132294174
93	5.086505194
94	5.030096624
95	4.97969585
96	4.921965674
97	4.871533346
98	4.811655638
99	4.758875572
100	4.712815633
101	4.664552312
102	4.62016057
103	4.566789992
104	4.51324739
105	4.466126518
106	4.422128795
107	4.372167964
108	4.325746017
109	4.280730716
110	4.241992538
111	4.199317148
112	4.15702807
113	4.110664132
114	4.068151595
115	4.02126287
116	3.97755731
117	3.940481336
118	3.899652807
119	3.864047949
120	3.822386049
121	3.777974722
122	3.742110284
123	3.705880527
124	3.670815341
125	3.63558726
126	3.597106044
127	3.56341895
128	3.532483191
129	3.49916251
130	3.463051802
131	3.430636917
132	3.396315033
133	3.367367634
134	3.333228319
135	3.302627753
136	3.274271724
137	3.245152642
138	3.216910386
139	3.187389172
140	3.156534475
141	3.126904911
142	3.096302176
143	3.068352011
144	3.038805462
145	3.010286571
146	2.98659603
147	2.959886782
148	2.92888657
149	2.901657789
150	2.876735577
151	2.852921468
152	2.823600861
153	2.794596908
154	2.770125267
155	2.742194858
156	2.71411035
157	2.688428033
158	2.662777766
159	2.639603727
160	2.613638353
161	2.590760375
162	2.568493983
163	2.546091649
164	2.522325357
165	2.499920899
166	2.475662929
167	2.454665439
168	2.435281451
169	2.41539266
170	2.393800022
171	2.371701128
172	2.351344865
173	2.333892873
174	2.312046288
175	2.293051573
176	2.270285695
177	2.250671358
178	2.230897689
179	2.214515494
180	2.19585755
181	2.179667174
182	2.159022595
183	2.141795031
184	2.123657236
185	2.103308612
186	2.085977093
187	2.070022575
188	2.052395271
189	2.033773585
190	2.017045956
191	1.99931979
192	1.980889986
193	1.963557018
194	1.948325737
195	1.930581679
196	1.912663085
197	1.897596618
198	1.882266971
199	1.868229069
200	1.852083701
201	1.837415824
202	1.823854576
203	1.809611948
204	1.795338244
205	1.779995999
206	1.766760683
207	1.75260834
208	1.740665366
209	1.727349054
210	1.714803356
211	1.701066618
212	1.688644629
213	1.676127833
214	1.664823177
215	1.65196093
216	1.639519822
217	1.626404301
218	1.615952102
219	1.604278305
220	1.592617863
221	1.581271201
222	1.568782623
223	1.557099673
224	1.545878492
225	1.533662398
226	1.521623371
227	1.510917972
228	1.499230385
229	1.489212317
230	1.479562459
231	1.468764499
232	1.458559785
233	1.448284993
234	1.43863316
235	1.429536191
236	1.420684183
237	1.412222351
238	1.401659116
239	1.390409441
240	1.381425277
241	1.372088329
242	1.364073544
243	1.35507453
244	1.345380063
245	1.336010196
246	1.326495961
247	1.318282311
248	1.308946151
249	1.299655277
250	1.291613373
251	1.283651638
252	1.275447252
253	1.266830111
254	1.25865326
255	1.251361424
256	1.242437936
257	1.234955582
258	1.227323753
259	1.218552466
260	1.210816525
261	1.205208319
