iter	Passed	Remaining
0	60	60703
1	61	30647
2	62	20648
3	62	15637
4	63	12632
5	64	10627
6	64	9202
7	65	8126
8	66	7292
9	66	6617
10	67	6074
11	68	5615
12	68	5222
13	69	4892
14	70	4600
15	70	4350
16	71	4141
17	72	3939
18	72	3758
19	73	3596
20	74	3451
21	74	3316
22	75	3196
23	75	3084
24	76	2981
25	77	2887
26	77	2797
27	78	2717
28	78	2641
29	79	2571
30	80	2503
31	80	2447
32	81	2389
33	82	2334
34	82	2283
35	83	2232
36	83	2185
37	84	2142
38	85	2099
39	85	2061
40	86	2022
41	87	1987
42	87	1952
43	88	1921
44	89	1889
45	89	1857
46	90	1828
47	90	1799
48	91	1772
49	91	1746
50	92	1722
51	93	1698
52	94	1679
53	94	1657
54	95	1634
55	95	1614
56	96	1593
57	96	1573
58	97	1555
59	98	1542
60	99	1529
61	100	1516
62	101	1502
63	101	1486
64	102	1470
65	102	1455
66	103	1441
67	104	1427
68	104	1413
69	106	1408
70	106	1395
71	107	1382
72	107	1369
73	108	1357
74	109	1345
75	109	1333
76	110	1321
77	110	1309
78	111	1298
79	111	1287
80	112	1276
81	113	1265
82	113	1256
83	114	1246
84	114	1236
85	115	1227
86	116	1217
87	116	1211
88	117	1203
89	118	1196
90	119	1188
91	119	1181
92	120	1172
93	121	1166
94	121	1158
95	122	1150
96	122	1143
97	123	1135
98	124	1131
99	124	1124
100	125	1118
101	126	1110
102	126	1103
103	127	1096
104	127	1089
105	128	1083
106	129	1076
107	129	1070
108	130	1064
109	130	1059
110	131	1054
111	132	1049
112	132	1043
113	133	1037
114	134	1032
115	134	1027
116	135	1022
117	136	1016
118	136	1011
119	137	1006
120	138	1003
121	138	998
122	139	993
123	139	988
124	140	983
125	141	978
126	141	973
127	142	969
128	142	964
129	143	959
130	144	955
131	144	952
132	145	948
133	146	944
134	146	939
135	147	935
136	147	931
137	148	928
138	149	924
139	149	920
140	150	917
141	151	912
142	151	910
143	152	906
144	153	902
145	153	898
146	154	896
147	155	893
148	156	891
149	156	888
150	157	885
151	158	881
152	158	878
153	159	874
154	159	871
155	160	868
156	160	864
157	161	860
158	162	857
159	162	854
160	163	851
161	163	848
162	164	845
163	165	842
164	165	839
165	166	837
166	167	834
167	167	831
168	168	828
169	169	827
170	170	824
171	170	821
172	171	819
173	171	816
174	172	813
175	173	811
176	174	809
177	174	806
178	175	803
179	175	801
180	176	798
181	177	795
182	177	793
183	178	790
184	178	787
185	179	784
186	179	782
187	180	779
188	181	777
189	181	774
190	182	772
191	183	770
192	183	767
193	184	765
194	184	762
195	185	760
196	186	758
197	186	755
198	187	753
199	187	751
200	188	748
201	189	747
202	189	745
203	190	742
204	190	740
205	191	738
206	192	736
207	192	734
208	193	732
209	194	730
210	195	729
211	195	727
212	196	725
213	196	723
214	197	720
215	198	718
216	198	717
217	199	716
218	200	714
219	200	712
220	201	710
221	202	708
222	202	706
223	203	704
224	204	702
225	204	700
226	205	699
227	206	698
228	207	696
229	207	695
230	208	693
231	209	692
232	209	690
233	210	688
234	210	686
235	211	684
236	212	682
237	212	681
238	213	679
239	213	677
240	214	675
241	215	674
242	216	673
243	216	670
244	217	668
245	217	667
246	218	665
247	218	663
248	219	661
249	220	660
250	221	659
251	221	658
252	222	656
253	223	655
254	224	655
255	225	654
256	225	652
257	226	651
258	227	649
259	227	647
260	228	646
261	228	644
262	229	643
263	230	641
264	230	639
265	231	638
266	231	636
267	232	635
268	233	633
269	233	632
270	234	630
271	235	629
272	235	627
273	236	625
274	236	624
275	237	623
276	238	622
277	239	620
278	239	619
279	240	617
280	240	616
281	241	614
282	242	613
283	242	611
284	243	610
285	244	609
286	244	608
287	245	606
288	246	605
289	246	603
290	247	602
291	247	600
292	248	599
293	249	598
294	249	596
295	250	596
296	251	594
297	251	593
298	252	591
299	252	590
300	253	588
301	254	587
302	254	586
303	255	585
304	256	583
305	256	582
306	257	581
307	258	579
308	258	578
309	259	576
310	259	575
311	260	574
312	261	573
313	261	571
314	262	570
315	262	568
316	263	567
317	264	566
318	264	565
319	265	563
320	265	562
321	266	561
322	267	560
323	267	558
324	268	557
325	269	556
326	269	555
327	270	553
328	270	552
329	271	550
330	271	549
331	272	548
332	273	547
333	273	546
334	274	544
335	275	543
336	275	542
337	276	540
338	276	539
339	277	538
340	278	537
341	278	536
342	279	535
343	280	534
344	280	532
345	281	531
346	281	530
347	282	529
348	283	528
349	284	527
350	284	526
351	285	525
352	286	524
353	286	523
354	287	522
355	288	521
356	289	521
357	289	520
358	290	518
359	291	517
360	291	516
361	292	515
362	293	514
363	293	513
364	294	512
365	295	511
366	295	510
367	296	509
368	296	507
369	297	506
370	298	505
371	298	504
372	299	503
373	300	502
374	300	501
375	301	500
376	302	499
377	303	498
378	303	497
379	304	496
380	305	495
381	305	494
382	306	494
383	307	493
384	308	492
385	308	491
386	309	490
387	310	488
388	310	487
389	311	486
390	311	485
391	312	484
392	313	483
393	313	482
394	314	481
395	314	480
396	315	479
397	316	478
398	317	477
399	317	476
400	318	475
401	319	474
402	319	473
403	320	472
404	321	471
405	321	470
406	322	469
407	322	468
408	323	467
409	323	466
410	324	465
411	325	464
412	325	463
413	326	462
414	327	461
415	327	460
416	328	459
417	328	458
418	329	457
419	330	456
420	330	454
421	331	454
422	332	453
423	332	452
424	333	451
425	334	450
426	334	449
427	335	448
428	336	447
429	336	446
430	337	445
431	337	444
432	338	443
433	338	442
434	339	441
435	340	440
436	340	439
437	341	437
438	341	436
439	342	435
440	343	434
441	343	433
442	344	432
443	345	432
444	345	431
445	346	430
446	347	429
447	348	429
448	349	428
449	349	427
450	350	426
451	350	425
452	351	424
453	352	423
454	352	422
455	353	421
456	353	420
457	354	419
458	355	418
459	355	417
460	356	416
461	356	415
462	357	414
463	357	413
464	358	412
465	359	411
466	359	410
467	360	409
468	360	408
469	361	407
470	362	406
471	362	405
472	363	404
473	363	403
474	364	402
475	365	401
476	365	401
477	366	400
478	367	399
479	367	398
480	368	397
481	368	396
482	369	395
483	370	394
484	370	393
485	371	392
486	371	391
487	372	390
488	373	389
489	373	388
490	374	387
491	374	386
492	375	386
493	376	385
494	376	384
495	377	383
496	378	382
497	379	382
498	379	381
499	380	380
500	381	379
501	381	378
502	382	377
503	383	377
504	383	376
505	384	375
506	384	374
507	385	373
508	386	372
509	386	371
510	387	370
511	388	370
512	388	369
513	389	368
514	390	367
515	390	366
516	391	365
517	391	364
518	392	363
519	392	362
520	393	361
521	394	361
522	394	360
523	395	359
524	396	358
525	397	357
526	397	356
527	398	356
528	398	355
529	399	354
530	400	353
531	400	352
532	401	351
533	402	350
534	402	349
535	403	349
536	403	348
537	404	347
538	404	346
539	405	345
540	406	344
541	406	343
542	407	342
543	407	341
544	408	340
545	408	340
546	409	339
547	410	338
548	410	337
549	411	336
550	411	335
551	412	334
552	413	333
553	413	332
554	414	332
555	414	331
556	415	330
557	416	329
558	416	328
559	417	327
560	417	326
561	418	325
562	418	325
563	419	324
564	420	323
565	420	322
566	421	321
567	421	320
568	422	320
569	423	319
570	424	318
571	424	317
572	425	316
573	425	315
574	426	315
575	426	314
576	427	313
577	428	312
578	428	311
579	429	311
580	430	310
581	430	309
582	431	308
583	432	307
584	432	306
585	433	306
586	434	305
587	434	304
588	435	303
589	435	302
590	436	301
591	436	301
592	437	300
593	437	299
594	438	298
595	438	297
596	439	296
597	440	295
598	440	295
599	441	294
600	441	293
601	442	292
602	443	291
603	443	290
604	444	290
605	444	289
606	445	288
607	446	287
608	446	286
609	447	285
610	447	285
611	448	284
612	449	283
613	449	282
614	450	281
615	450	281
616	451	280
617	452	279
618	452	278
619	453	277
620	453	276
621	454	276
622	454	275
623	455	274
624	455	273
625	456	272
626	457	271
627	457	271
628	458	270
629	458	269
630	459	268
631	460	267
632	460	267
633	461	266
634	461	265
635	462	264
636	463	263
637	463	263
638	464	262
639	464	261
640	465	260
641	466	260
642	467	259
643	467	258
644	468	257
645	468	256
646	469	256
647	469	255
648	470	254
649	471	253
650	471	252
651	472	252
652	473	251
653	473	250
654	474	249
655	474	249
656	476	248
657	476	247
658	477	247
659	478	246
660	478	245
661	479	244
662	480	243
663	480	243
664	481	242
665	481	241
666	482	240
667	483	240
668	483	239
669	484	238
670	484	237
671	485	236
672	485	236
673	486	235
674	486	234
675	487	233
676	488	232
677	489	232
678	489	231
679	490	230
680	491	230
681	491	229
682	492	228
683	492	227
684	493	226
685	493	226
686	494	225
687	495	224
688	495	223
689	496	223
690	497	222
691	497	221
692	498	220
693	499	220
694	499	219
695	500	218
696	501	218
697	502	217
698	503	216
699	503	215
700	504	215
701	505	214
702	505	213
703	506	212
704	507	212
705	507	211
706	508	210
707	508	209
708	509	209
709	510	208
710	510	207
711	511	206
712	512	206
713	512	205
714	513	204
715	513	203
716	514	203
717	515	202
718	515	201
719	516	200
720	517	200
721	517	199
722	518	198
723	518	197
724	519	197
725	519	196
726	520	195
727	521	194
728	521	194
729	522	193
730	523	192
731	523	191
732	524	191
733	524	190
734	526	189
735	526	188
736	527	188
737	528	187
738	528	186
739	529	185
740	530	185
741	530	184
742	531	183
743	531	183
744	532	182
745	533	181
746	533	180
747	534	179
748	534	179
749	535	178
750	536	177
751	537	177
752	537	176
753	538	175
754	538	174
755	539	174
756	540	173
757	540	172
758	541	171
759	542	171
760	542	170
761	543	169
762	544	169
763	544	168
764	545	167
765	545	166
766	546	166
767	547	165
768	547	164
769	548	163
770	549	163
771	549	162
772	550	161
773	550	160
774	551	160
775	551	159
776	552	158
777	553	157
